panel_member_id,target_metal,success_status,failure_reason,minimum_coordination_number,maximum_mean_metal_oxygen_distance_A,escape_event_detected,final_coordination_number,final_mean_metal_oxygen_distance_A,metadynamics_status
am1_mex_ss_only_u02,Dy,success,,7.579774199816228,2.3697055905387847,FALSE,7.716559218215954,2.3238441692461236,retained_bound
am1_mex_ss_only_u02,Nd,success,,8.033157542914209,2.4732679362416534,FALSE,8.470016628436316,2.4352361546430674,retained_bound
am1_mex_ss_only_u02,Y,success,,7.927116765802211,2.351133701195936,FALSE,8.341104296096415,2.309657434687113,retained_bound
am1_mex_ss_only_u02,Al,success,,6.219740718842549,1.9531125435799093,FALSE,6.466358580161103,1.901379619864285,persistent_capture
am1_mex_ss_only_u02,Fe,success,,5.733932614076058,2.110943485938492,FALSE,6.648948350550141,2.055730975104905,persistent_capture
am1_mex_wt_reference,Dy,success,,7.570039710819418,2.3741139371209448,FALSE,7.688421642642667,2.345194306012038,retained_bound
am1_mex_wt_reference,Nd,success,,8.083591494618245,2.479513987290804,FALSE,8.654737458625291,2.4381953695671568,retained_bound
am1_mex_wt_reference,Y,success,,7.912337492009035,2.370115598501848,FALSE,8.11523610649017,2.319582453099284,retained_bound
am1_mex_wt_reference,Al,success,,6.21590924998679,1.9040318548153035,FALSE,6.321990167891137,1.8815290869496915,persistent_capture
am1_mex_wt_reference,Fe,success,,6.570415424467396,2.1380479762781754,FALSE,6.734466691703211,2.0943055435068727,persistent_capture
hans_pocket_ss_only_u02,Dy,success,,8.45057686055757,2.394181645931605,FALSE,8.662168243559416,2.3543803774375545,retained_bound
hans_pocket_ss_only_u02,Nd,success,,8.685504869806433,2.4620773884057714,FALSE,9.361835358391199,2.435706198302453,retained_bound
hans_pocket_ss_only_u02,Y,success,,8.055974504244823,2.3617665383935584,FALSE,8.241793144435892,2.342882529309031,retained_bound
hans_pocket_ss_only_u02,Al,success,,5.827907896963645,1.8927568611417258,FALSE,5.896461003897024,1.8386805837311528,persistent_capture
hans_pocket_ss_only_u02,Fe,success,,6.793802564756812,2.127504713623858,FALSE,7.253452621072063,2.059345521535708,persistent_capture
hans_interface_ss_plus_if_u04,Dy,success,,8.497618614348394,2.347377814109477,FALSE,8.592645006185093,2.333689307465759,retained_bound
hans_interface_ss_plus_if_u04,Nd,success,,8.861396410461511,2.4448892778947515,FALSE,9.020901159453814,2.426475876209056,retained_bound
hans_interface_ss_plus_if_u04,Y,success,,8.261168455822935,2.3355815972177703,FALSE,8.339266514058025,2.318137860420771,retained_bound
hans_interface_ss_plus_if_u04,Al,success,,6.32878432636384,1.9017822048741273,FALSE,6.407391887889251,1.878181507379058,persistent_capture
hans_interface_ss_plus_if_u04,Fe,success,,7.062326048472157,2.0884238587007142,FALSE,7.304961026829473,2.0717614267291315,persistent_capture
hans_interface_wt_reference,Dy,success,,8.005959666969915,2.355922152915758,FALSE,8.069296626714141,2.3369614430852144,retained_bound
hans_interface_wt_reference,Nd,success,,8.900505534698338,2.448767569266724,FALSE,9.048840152494577,2.4314616871973063,retained_bound
hans_interface_wt_reference,Y,success,,8.287275261972042,2.3386438877227187,FALSE,8.375758811761484,2.32403415989392,retained_bound
hans_interface_wt_reference,Al,success,,6.332740211390188,1.8908327548936281,FALSE,6.425909286213707,1.8755837705277152,persistent_capture
hans_interface_wt_reference,Fe,success,,7.0050776872836025,2.0922689159206374,FALSE,7.051648174766815,2.0874190319200996,persistent_capture
